MolWt,LogP,TPSA,HDonors,HAcceptors,NumAromaticRings,NumRotatableBonds,SMILES,IOT
169.227,3.430200000000001,12.03,1,1,2,2,C1=CC=C(C=C1)NC2=CC=CC=C2,"1,6"
169.227,3.430200000000001,12.03,1,1,2,2,C1=CC=C(C=C1)NC2=CC=CC=C2,"2,6"
169.227,3.430200000000001,12.03,1,1,2,2,C1=CC=C(C=C1)NC2=CC=CC=C2,5
169.227,3.430200000000001,12.03,1,1,2,2,C1=CC=C(C=C1)NC2=CC=CC=C2,"9,1"
169.227,3.430200000000001,12.03,1,1,2,2,C1=CC=C(C=C1)NC2=CC=CC=C2,14
169.227,3.430200000000001,12.03,1,1,2,2,C1=CC=C(C=C1)NC2=CC=CC=C2,28
169.227,3.430200000000001,12.03,1,1,2,2,C1=CC=C(C=C1)NC2=CC=CC=C2,36
169.227,3.430200000000001,12.03,1,1,2,2,C1=CC=C(C=C1)NC2=CC=CC=C2,43
331.5030000000001,7.297200000000006,12.03,1,1,3,4,CC(C)(C)CC(C)(C)C1=CC=CC=C1NC2=CC=CC3=CC=CC=C32,"10,93"
331.5030000000001,7.297200000000006,12.03,1,1,3,4,CC(C)(C)CC(C)(C)C1=CC=CC=C1NC2=CC=CC3=CC=CC=C32,"20,68"
331.5030000000001,7.297200000000006,12.03,1,1,3,4,CC(C)(C)CC(C)(C)C1=CC=CC=C1NC2=CC=CC3=CC=CC=C32,"31,4"
331.5030000000001,7.297200000000006,12.03,1,1,3,4,CC(C)(C)CC(C)(C)C1=CC=CC=C1NC2=CC=CC3=CC=CC=C32,"53,79"
331.5030000000001,7.297200000000006,12.03,1,1,3,4,CC(C)(C)CC(C)(C)C1=CC=CC=C1NC2=CC=CC3=CC=CC=C32,"60,39"
421.7130000000004,10.016399999999994,12.03,1,1,2,18,C1(=CC=CC=C1N(C2=CC=CC=C2CCCCCCCCC)[H])CCCCCCCCC,"3,985"
421.7130000000004,10.016399999999994,12.03,1,1,2,18,C1(=CC=CC=C1N(C2=CC=CC=C2CCCCCCCCC)[H])CCCCCCCCC,"7,09"
421.7130000000004,10.016399999999994,12.03,1,1,2,18,C1(=CC=CC=C1N(C2=CC=CC=C2CCCCCCCCC)[H])CCCCCCCCC,"11,285"
421.7130000000004,10.016399999999994,12.03,1,1,2,18,C1(=CC=CC=C1N(C2=CC=CC=C2CCCCCCCCC)[H])CCCCCCCCC,"34,61"
421.7130000000004,10.016399999999994,12.03,1,1,2,18,C1(=CC=CC=C1N(C2=CC=CC=C2CCCCCCCCC)[H])CCCCCCCCC,"85,93"
219.287,4.583400000000002,12.03,1,1,3,2,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,"10,86"
219.287,4.583400000000002,12.03,1,1,3,2,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,"20,68"
219.287,4.583400000000002,12.03,1,1,3,2,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,"31,4"
219.287,4.583400000000002,12.03,1,1,3,2,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,"53,79"
219.287,4.583400000000002,12.03,1,1,3,2,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,"60,39"
